head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,-14,0,0,0.5774,99899
0,-15,0,0,0.5774,99916
0,-15,0,0,0.5774,99932
0,-14,0,0,0.5774,99949
0,-3,0,0,0.5774,99965
0,-4,0,0,0.5774,99982
0,-2,0,0,0.5774,100000
0,-3,0,0,0.5774,100015
0,-3,0,0,0.5774,100032
0,-3,0,0,0.5774,100049
0,-3,0,0,0.5774,100066
0,-2,0,0,0.5774,100083
0,0,0,0,0.5774,100098
0,3,0,0,0.5774,100115
0,5,0,0,0.5774,100133
0,7,0,0,0.5774,100149
0,8,0,0,0.5774,100165
0,8,0,0,0.5774,100182
0,9,0,0,0.5774,100199
0,14,0,0,0.5774,100215
0,3,0,0,0.5774,100234
0,2,0,0,0.5774,100249
0,3,0,0,0.5774,100265
0,3,0,0,0.5774,100282
0,3,0,0,0.5774,100299
0,2,0,0,0.5774,100315
0,2,0,0,0.5774,100332
0,3,0,0,0.5774,100349
0,4,0,0,0.5774,100365
0,3,0,0,0.5774,100382
0,3,0,0,0.5774,100399
0,3,0,0,0.5774,100416
0,2,0,0,0.5774,100432
0,3,0,0,0.5774,100449
0,2,0,0,0.5774,100465
0,3,0,0,0.5774,100482
0,0,0,0,0.5774,100499
0,0,0,0,0.5774,100515
0,0,0,0,0.5774,100532
0,0,0,0,0.5774,100548
0,0,0,0,0.5774,100565
0,0,0,0,0.5774,100582
0,0,0,0,0.5774,100598
0,8,0,0,0.5774,100616
0,0,0,0,0.5774,100632
0,15,0,0,0.5774,100649
0,9,0,0,0.5774,100665
0,10,0,0,0.5774,100682
0,10,0,0,0.5774,100699
0,9,0,0,0.5774,100715
0,9,0,2,20,100733
0,10,0,2,20,100752
0,3,0,2,20,100769
0,3,0,2,20,100787
0,3,0,2,20,100799
0,3,0,2,20,100815
0,3,0,2,20,100833
0,3,0,2,20,100849
0,0,0,2,20,100865
0,3,0,2,20,100882
0,3,0,2,20,100900
0,3,0,2,20,100918
0,3,0,2,20,100933
0,0,0,2,20,100952
0,0,0,2,20,100966
0,0,0,2,20,100982
0,0,0,2,20,100998
0,4,0,2,20,101015
0,5,0,2,20,101032
0,5,0,2,20,101049
0,5,0,2,20,101065
0,0,0,2,20,101082
0,0,0,2,20,101098
0,0,0,2,20,101117
0,0,0,2,20,101132
0,0,0,2,20,101148
0,0,0,2,20,101165
0,0,0,2,20,101182
0,0,0,2,20,101198
0,0,0,2,20,101215
0,0,0,2,20,101232
0,0,0,2,20,101248
0,0,0,2,20,101265
0,0,0,2,20,101282
0,0,0,2,20,101299
0,0,0,2,20,101315
0,0,0,2,20,101332
0,0,0,2,20,101348
0,0,0,2,20,101365
0,0,0,2,20,101382
0,0,0,2,20,101398
0,0,0,2,20,101415
0,0,0,2,20,101432
0,0,0,2,20,101449
0,0,0,2,20,101465
0,-3,0,2,20,101482
0,-2,0,2,20,101499
0,0,0,2,20,101515
0,0,0,2,20,101532
0,0,0,2,20,101548
0,0,0,2,20,101565
0,0,0,2,20,101582
0,0,0,2,20,101598
0,0,0,2,20,101615
0,0,0,2,20,101632
0,0,0,2,20,101648
0,0,0,2,20,101665
0,0,0,2,20,101682
0,0,0,2,20,101698
0,0,0,2,20,101715
0,0,0,2,20,101732
0,0,0,2,20,101748
0,0,0,2,20,101765
0,2,0,2,20,101782
0,3,0,2,20,101799
0,6,0,2,20,101815
0,0,0,2,20,101832
0,0,0,2,20,101848
0,0,0,2,20,101865
0,0,0,2,20,101882
0,0,0,2,20,101898
0,0,0,2,20,101916
0,0,0,2,20,101932
0,0,0,2,20,101948
0,0,0,2,20,101967
0,0,0,2,20,101982
0,0,0,2,20,101998
0,0,0,2,20,102015
0,0,0,2,20,102032
0,0,0,2,20,102048
0,0,0,2,20,102065
0,0,0,2,20,102082
0,0,0,2,20,102098
0,0,0,2,20,102115
0,0,0,2,20,102132
0,0,0,2,20,102148
0,0,0,2,20,102165
0,0,0,2,20,102182
0,0,0,2,20,102198
0,0,0,2,20,102215
0,0,0,2,20,102232
0,0,0,2,20,102248
0,0,0,2,20,102265
0,0,0,2,20,102282
0,0,0,2,20,102298
0,0,0,2,20,102315
0,0,0,2,20,102332
0,0,0,2,20,102349
0,0,0,2,20,102365
0,0,0,2,20,102382
0,0,0,2,20,102398
0,0,0,2,20,102415
0,0,0,2,20,102432
0,0,0,2,20,102448
0,0,0,2,20,102465
0,0,0,2,20,102482
0,0,0,2,20,102498
0,0,0,2,20,102515
0,0,0,2,20,102532
0,0,0,2,20,102548
0,0,0,2,20,102565
0,0,0,2,20,102582
0,0,0,2,20,102598
0,0,0,2,20,102615
0,0,0,2,20,102632
0,0,0,2,20,102648
0,0,0,2,20,102665
0,0,0,2,20,102682
0,0,0,2,20,102698
0,0,0,2,20,102715
0,0,0,2,20,102732
0,0,0,2,20,102748
0,0,0,2,20,102765
0,0,0,2,20,102782
0,0,0,2,20,102798
0,0,0,2,20,102815
0,0,0,2,20,102832
0,0,0,2,20,102848
0,0,0,2,20,102865
0,0,0,2,20,102882
0,0,0,2,20,102898
0,0,0,2,20,102915
0,0,0,2,20,102932
0,0,0,2,20,102948
0,0,0,2,20,102966
0,0,0,2,20,102982
0,0,0,2,20,102999
0,0,0,2,20,103015
0,0,0,2,20,103032
0,0,0,2,20,103048
0,0,0,2,20,103065
0,0,0,2,20,103082
0,0,0,2,20,103098
0,0,0,2,20,103115
0,0,0,2,20,103132
0,0,0,2,20,103149
0,0,0,2,20,103165
0,0,0,2,20,103182
0,0,0,2,20,103198
0,0,0,2,20,103215
0,0,0,2,20,103232
0,0,0,2,20,103248
0,0,0,2,20,103265
0,0,0,2,20,103282
0,0,0,2,20,103298
0,0,0,2,20,103315
0,0,0,2,20,103332
0,0,0,2,20,103348
0,0,0,2,20,103365
0,0,0,2,20,103382
0,0,0,2,20,103398
0,0,0,2,20,103415
0,0,0,2,20,103432
0,0,0,2,20,103448
0,0,0,2,20,103465
0,0,0,2,20,103482
0,0,0,2,20,103498
0,0,0,2,20,103515
0,0,0,2,20,103532
0,0,0,2,20,103549
0,0,0,2,20,103565
0,0,0,2,20,103582
0,0,0,2,20,103598
0,0,0,2,20,103615
0,0,0,2,20,103632
0,0,0,2,20,103648
0,0,0,2,20,103665
0,0,0,2,20,103682
0,0,0,2,20,103698
0,0,0,2,20,103715
0,0,0,2,20,103732
0,0,0,2,20,103748
0,0,0,2,20,103765
0,0,0,2,20,103782
0,0,0,2,20,103798
0,0,0,2,20,103815
0,0,0,2,20,103832
0,0,0,2,20,103848
0,0,0,2,20,103865
0,0,0,2,20,103882
