head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,0,1,14419
0,0,0,0,1,14434
0,0,0,0,1,14452
0,0,0,0,1,14469
0,0,0,0,1,14485
0,0,0,0,1,14502
0,0,0,0,1,14517
0,0,0,0,1,14534
0,0,0,0,1,14551
0,0,0,0,1,14569
0,0,0,0,1,14586
0,0,0,0,1,14601
0,0,0,0,1,14618
0,0,0,0,1,14635
0,0,0,0,1,14652
0,0,0,0,1,14669
0,0,0,0,1,14685
0,0,0,0,1,14702
0,0,0,0,1,14718
0,0,0,0,1,14735
0,0,0,0,1,14751
0,0,0,0,1,14768
0,0,0,0,1,14785
0,0,0,0,1,14801
0,0,0,0,1,14819
0,0,0,0,1,14835
0,0,0,0,1,14851
0,0,0,0,1,14868
0,0,0,0,1,14885
0,0,0,0,1,14902
0,0,0,0,1,14919
0,0,0,0,1,14935
0,0,0,0,1,14951
0,0,0,0,1,14969
0,0,0,0,1,14985
0,0,0,0,1,15002
0,0,0,0,1,15019
0,0,0,0,1,15035
0,0,0,0,1,15052
0,0,0,0,1,15069
0,0,0,0,1,15085
0,0,0,0,1,15101
0,0,0,0,1,15118
0,0,0,0,1,15135
0,0,0,0,1,15151
0,0,0,0,1,15168
0,0,0,0,1,15185
0,0,0,0,1,15202
0,0,0,0,1,15219
0,0,0,0,1,15235
0,0,0,0,1,15252
0,0,0,0,1,15269
0,0,0,0,1,15284
0,0,0,0,1,15302
0,0,0,0,1,15318
0,0,0,0,1,15335
0,0,0,0,1,15351
0,0,0,0,1,15369
0,0,0,0,1,15385
0,0,0,0,1,15401
0,0,0,0,1,15419
0,0,0,0,1,15435
0,0,0,0,1,15451
0,0,0,0,1,15469
0,0,0,0,1,15485
0,0,0,0,1,15501
0,0,0,0,1,15518
0,0,0,0,1,15535
0,0,0,0,1,15551
0,0,0,0,1,15569
0,0,0,0,1,15585
0,0,0,0,1,15602
0,0,0,0,1,15618
0,0,0,0,1,15635
0,0,0,0,1,15653
0,0,0,0,1,15669
0,0,0,0,1,15685
0,0,0,0,1,15701
0,0,0,0,1,15719
0,0,0,0,1,15735
0,0,0,0,1,15751
0,0,0,0,1,15769
0,0,0,0,1,15785
0,0,0,0,1,15801
0,0,0,0,1,15819
0,0,0,0,1,15835
0,0,0,0,1,15851
0,0,0,0,1,15869
0,0,0,0,1,15885
0,0,0,0,1,15902
0,0,0,0,1,15918
0,0,0,0,1,15935
0,0,0,0,1,15952
0,0,0,0,1,15968
0,0,0,2,1,15985
0,0,0,2,1,16002
0,0,0,2,1,16018
0,0,0,2,1,16034
0,0,0,2,1,16051
0,0,0,2,1,16068
0,0,0,2,1,16085
0,0,0,2,1,16102
0,0,0,2,1,16117
0,0,0,2,1,16135
0,0,0,2,1,16152
0,0,0,2,1,16169
0,0,0,2,1,16185
0,0,0,2,1,16201
0,0,0,2,1,16219
0,0,0,2,1,16234
0,0,0,2,1,16251
0,0,0,2,1,16269
0,0,0,2,1,16285
0,0,0,2,1,16302
0,0,0,2,1,16318
0,0,0,2,1,16335
0,0,0,2,1,16352
0,0,0,2,1,16367
0,0,0,2,1,16385
0,0,0,2,1,16401
0,0,0,2,1,16419
0,0,0,2,1,16435
0,0,0,2,1,16451
0,0,0,2,1,16469
0,0,0,2,1,16485
0,0,0,2,1,16501
0,0,0,2,1,16519
0,0,0,2,1,16535
0,0,0,2,1,16551
0,0,0,2,1,16569
0,0,0,2,1,16584
0,0,0,2,1,16601
0,0,0,2,1,16619
0,0,0,2,1,16635
0,0,0,2,1,16652
0,0,0,2,1,16668
0,0,0,2,1,16685
0,0,0,2,1,16701
0,0,0,2,1,16719
0,0,0,2,1,16735
0,0,0,2,1,16752
0,0,0,2,1,16769
0,0,0,2,1,16785
0,0,0,2,1,16802
0,0,0,2,1,16819
0,0,0,2,1,16835
0,0,0,2,1,16852
0,0,0,2,1,16869
0,0,0,2,1,16885
0,0,0,2,1,16901
0,0,0,2,1,16918
0,0,0,2,1,16935
0,0,0,2,1,16952
0,0,0,2,1,16969
0,0,0,2,1,16985
0,0,0,2,1,17002
0,0,0,2,1,17019
0,0,0,2,1,17035
0,0,0,2,1,17051
0,0,0,2,1,17068
0,0,0,2,1,17085
0,0,0,2,1,17101
0,0,0,2,1,17119
0,0,0,2,1,17135
